Nennungen der Features in J48:,,,,,
,,,,,
n,attr,ø values,normalized occurences,,
187.0,48.0,0.743316,3syl,models-sparse.txt,3syl/models-sparse.txt:(nucleus_phoncat2 = L) and (comp_len <= 1) and (syl_weight1 = light) and (sonority_ratio2 <= 4) and (koda_phoncat2 = C) => stress_class=ultima (187.0/48.0)
186.0,26.0,0.860215,2syl,models-numeric.txt,2syl/models-numeric.txt:(syl_len0 <= 3) and (nucleus_len1 >= 2) and (cv_ratio0 >= 2) and (syl_len1 >= 3) and (comp_len <= 1) and (sonority_ratio1 <= 4) => stress_class=ultima (186.0/26.0)
185.0,33.0,0.821622,2syl,models-sparse.txt,2syl/models-sparse.txt:(comp_len <= 0) and (nucleus_len1 >= 2) and (syl_len1 >= 3) and (sonority0 <= 13) => stress_class=ultima (185.0/33.0)
179.0,38.0,0.787709,6syl,models-sparse.txt,6syl/models-sparse.txt:(comp_len <= 1) and (cv_ratio5 >= 2) => stress_class=paenultima (179.0/38.0)
178.0,52.0,0.707865,4syl,models-meta.txt,4syl/models-meta.txt:(comp_len <= 1) and (nomen = F) and (comp_len <= 0) => stress_class=paenultima (178.0/52.0)
177.0,17.0,0.903955,2syl,models-all.txt,2syl/models-all.txt:(syl_suffix = ø) and (syl_len0 <= 3) and (syl_weight1 = heavy) and (comp_len <= 1) and (praefix_phoncat2 = CK) => stress_class=ultima (177.0/17.0)
177.0,11.0,0.937853,4syl,models-all.txt,4syl/models-all.txt:(syl_weight1 = light) and (syl_cv1 = CVVC) and (syl_len1 <= 3) and (syl_len0 <= 3) and (comp_len >= 2) => stress_class=antepaenultima (177.0/11.0)
171.0,42.0,0.754386,5syl,models-meta.txt,5syl/models-meta.txt:(comp_len <= 1) and (pos = N) and (comp_struct = R) => stress_class=ultima (171.0/42.0)
165.0,27.0,0.836364,6syl,models-all.txt,6syl/models-all.txt:(comp_len <= 1) and (syl_phoncat5 = CKC) => stress_class=paenultima (165.0/27.0)
164.0,5.0,0.969512,4syl,models-sparse.txt,4syl/models-sparse.txt:(cv_ratio3 <= 0) and (syl_len3 >= 3) and (comp_len <= 1) => stress_class=ultima (164.0/5.0)
161.0,16.0,0.900621,3syl,models-all.txt,3syl/models-all.txt:(comp_len <= 1) and (prae_class = ø) and (syl_weight1 = light) and (syl_len0 <= 3) and (onset_len0 >= 1) and (syl_cv2 = CV) => stress_class=paenultima (161.0/16.0)
159.0,6.0,0.962264,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (nucleus_phoncat2 = L) and (nucleus_phoncat1 = L) and (sonority0 <= 10) and (syl_weight3 = schwa) => stress_class=paenultima (159.0/6.0)
157.0,13.0,0.917197,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (sonority_dir >= 1) and (prae_class = ø) and (syl_weight1 = light) and (syl_phoncat3 = CKC) and (sonority1 <= 10) and (syl_weight2 = light) => stress_class=paenultima (157.0/13.0)
157.0,12.0,0.923567,3syl,models-sparse.txt,3syl/models-sparse.txt:(comp_len <= 1) and (prae_class = ø) and (syl_weight1 = light) and (sonority0 <= 10) and (syl_len2 >= 5) and (cv_ratio2 <= 2) => stress_class=paenultima (157.0/12.0)
150.0,50.0,0.666667,5syl,models-meta.txt,5syl/models-meta.txt:(comp_len >= 2) and (pos = V) => stress_class=sekunda (150.0/50.0)
148.0,41.0,0.722973,3syl,models-all.txt,3syl/models-all.txt:(comp_len <= 1) and (prae_class = ø) and (syl_weight1 = light) and (syl_len0 <= 3) and (onset_len0 >= 1) and (signi_suffix = ø) and (syl_len1 >= 3) and (suff_class = ø) => stress_class=paenultima (148.0/41.0)
144.0,4.0,0.972222,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (nucleus_phoncat2 = L) and (syl_weight1 = light) and (prae_class = ø) and (sonority3 >= 13) and (syl_weight3 = schwa) => stress_class=paenultima (144.0/4.0)
142.0,8.0,0.943662,6syl,models-sparse.txt,6syl/models-sparse.txt:(nucleus_phoncat5 = L) and (comp_len <= 1) => stress_class=ultima (142.0/8.0)
142.0,8.0,0.943662,6syl,models-all.txt,6syl/models-all.txt:(nucleus_phoncat5 = L) and (comp_len <= 1) => stress_class=ultima (142.0/8.0)
141.0,0.0,1,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (nucleus_phoncat2 = L) and (nucleus_phoncat1 = L) and (onset_len0 >= 1) and (syl_len2 >= 3) and (sonority2 <= 11) => stress_class=paenultima (141.0/0.0)
